PeopleID	FullName	WikipediaURL	VIAFURL	KnowledgeNetwork	SocialNetwork	ProfessionalNetwork	ReligiousNetwork	Gender	Nationality
sedgwadam0005751	Rev. Adam Sedgwick			Sciences_Natural		Academic		Male	English
sedgweliza024864	Eliza Sedgwick					Medical		Female	American
sedgwtheod024910	Theodore Sedgwick	http://en.wikipedia.org/wiki/Theodore_Sedgwick	http://viaf.org/65447130/		Government	Legal		Male	American
seguiannej023111	Anne Jacqueline Charlotte Séguier							Female	French
seguisidoi023138	Sidoine Charles François Séguier, marquis de Saint-Brisson			Letters_Literary				Male	French
seguy00000024287	— Seguy					Academic		Male	French
seignette0003126	Pierre Henri Seignette			Letters_Antiquarian	Government	Medical		Male	French
seigngabri001209	Gabriel de Seigneux, seigneur de Correvon			Letters_Literary	Government	Finance-banking		Male	Swiss
selapjacqu004863						Finance-banking		Male	
selisnicol003066	Nicolas Joseph Sélis		http://viaf.org/29639918/	Letters_Literary, Letters_Antiquarian		Academic		Male	French
sellinicol025047	Nicolas Henri Sellier					Legal		Male	French
sellojeanf003127	Jean François Sellon				Government			Male	Swiss
selwygeorg003128	George Augustus Selwyn	http://en.wikipedia.org/wiki/George_Augustus_Selwyn_(MP)	http://viaf.org/19773764/					Male	English
senacgabri003067	Gabriel Amable Sénac de Meilhan			Letters_Literary	Government			Male	French
senacjeanb003068	Jean Baptiste Sénac	http://en.wikipedia.org/wiki/Jean-Baptiste_de_Sénac	http://viaf.org/71540730/	Sciences_Medicine, Sciences	Court	Medical		Male	French
senateofbr025738	Senate of Bremen							Group	German
senatorsab025029	Senators absent							Group	American
senatorspr025028	Senators present							Group	American
senckjohan003492	Johann Erasmus von Senckenberg					Legal		Male	German
senebjean0023110	Jean Sénébier	http://en.wikipedia.org/wiki/Jean_Senebier	http://viaf.org/2593617/	Letters_Literary		Cultural	Clergy	Male	Swiss
seneyjoshu025021	Joshua Seney					Legal		Male	American
sephrozime025534	— Sephrozimez			Sciences_Natural			Clergy	Male	Greek
sergejohn0003129	John Sergeant	http://en.wikipedia.org/wiki/John_Sergeant_(priest)	http://viaf.org/9973911/	Letters_Religious			Clergy	Male	English
seroujeanb003069	Jean Baptiste Louis Georges Séroux d'Agincourt	http://en.wikipedia.org/wiki/Jean_Baptiste_d'Agincourt	http://viaf.org/66737037/	Letters_Literary, Letters_Antiquarian				Male	French
serpillon0023109	M. — Serpillon							Male	French
serrapetru025716	Petrus Serrarius		http://viaf.org/45099683/					Male	Dutch
serresuzan023108	Suzanne Serre					Trade-merchant		Female	French
servajosep003130	Joseph Michel Antoine Servan	http://en.wikipedia.org/wiki/Joseph_Michel_Antoine_Servan	http://viaf.org/56616378/	Letters_Literary		Legal		Male	French
settamanfr025657	Rev. Manfredo Settala			Collector, Sciences_Natural			Clergy	Male	Italian
sewaldavid024607	David Sewall	http://en.wikipedia.org/wiki/David_Sewall	http://viaf.org/67922348/		Government	Legal		Male	American
sewaranna0004111	Anna Seward	http://en.wikipedia.org/wiki/Anna_Seward	http://viaf.org/27208300/	Letters_Literary		Artist		Female	English
